section,path,label,audience,in_xml_sitemap,conceptual_pair_slug
Products & catalog,/,Home,public,yes,
Products & catalog,/products,All products,public,yes,
Products & catalog,/products/seating,Seating,public,yes,seating
Products & catalog,/products/workstations,Workstations,public,yes,workstations
Products & catalog,/products/tables,Tables,public,yes,tables
Products & catalog,/products/storages,Storage,public,yes,storages
Products & catalog,/products/soft-seating,Soft Seating,public,yes,soft-seating
Products & catalog,/products/education,Education,public,yes,education
Solutions,/solutions,Solutions overview,public,yes,
Solutions,/solutions/seating,Seating,public,yes,seating
Solutions,/solutions/workstations,Workstations,public,yes,workstations
Solutions,/solutions/tables,Tables,public,yes,tables
Solutions,/solutions/storages,Storage,public,yes,storages
Solutions,/solutions/soft-seating,Soft seating,public,yes,soft-seating
Solutions,/solutions/education,Education,public,yes,education
Planner,/planner,Planner overview,public,yes,
Planner,/planner/help,Planner help,public,yes,
Planner,/planner/features,Planner features,public,yes,
Planner,/planner/features/measure,Measure,public,yes,
Planner,/planner/features/catalog,Catalog,public,yes,
Planner,/planner/features/3d-view,3D view,public,yes,
Planner,/planner/features/ai-assist,AI assist,public,yes,
Planner,/planner/features/export,Export,public,yes,
Company & service,/about,About,public,yes,
Company & service,/clients,Clients,public,yes,
Company & service,/contact,Contact,public,yes,
Company & service,/service,Service & after-sales,public,yes,
Company & service,/showrooms,Showrooms,public,yes,
Company & service,/sustainability,Sustainability,public,yes,
Company & service,/trusted-by,Trusted by,public,yes,
Company & service,/career,Careers,public,yes,
Company & service,/planning,Planning service,public,yes,
Company & service,/compare,Compare,public,yes,
Company & service,/downloads,Resource desk,public,yes,
Legal & policies,/privacy,Privacy policy,public,yes,
Legal & policies,/terms,Terms,public,yes,
Legal & policies,/refund-and-return-policy,Refund policy,public,yes,
Legal & policies,/sitemap,This sitemap,public,yes,
Legal & policies,/sitemap.xml,XML sitemap,public,no,
Admin,/admin,Admin home,admin,no,
Admin,/admin/analytics,Analytics,admin,no,
Admin,/admin/catalog,Catalog,admin,no,
Admin,/admin/crm,CRM overview,admin,no,
Admin,/admin/crm/clients,CRM clients,admin,no,
Admin,/admin/crm/projects,CRM projects,admin,no,
Admin,/admin/crm/quotes,CRM quotes,admin,no,
Admin,/admin/customer-queries,Customer queries,admin,no,
Admin,/admin/design-kit,Design kit,admin,no,
Admin,/admin/features,Feature flags,admin,no,
Admin,/admin/inventory,Inventory,admin,no,
Admin,/admin/planner-catalog,Planner catalog,admin,no,
Admin,/admin/plans,Plans,admin,no,
Admin,/admin/price-books,Price books,admin,no,
Admin,/admin/product-studio,Product studio,admin,no,
Admin,/admin/product-studio/new,New product,admin,no,
Admin,/admin/settings,Settings,admin,no,
Admin,/admin/themes,Themes,admin,no,
Admin,/admin/workspace-catalog,Workspace catalog,admin,no,
